date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:34	153583/153583	---MCZ	200	added ('OK')	text/css	etag:W/%2256a06cde-257ef%22	http://html.lionode.com/korslook/Bootstrap/css/bootstrap.css	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/Bootstrap/css/bootstrap.css	(from http://html.lionode.com/korslook/)
13:57:34	916/916	---M--	200	added ('OK')	image/png	etag:%225687a386-394%22	http://html.lionode.com/korslook/images/cart.png	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/cart.png	(from http://html.lionode.com/korslook/css/style.css)
13:57:34	1296/1296	---M--	200	added ('OK')	image/png	etag:%2256935740-510%22	http://html.lionode.com/korslook/images/widh-comp.png	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/widh-comp.png	(from http://html.lionode.com/korslook/css/style.css)
13:57:36	163/163	---M--	200	added ('OK')	image/png	etag:%225687ab24-a3%22	http://html.lionode.com/korslook/images/list-grid.png	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/list-grid.png	(from http://html.lionode.com/korslook/css/style.css)
13:57:36	6077/6077	---M--	200	added ('OK')	image/png	etag:%22598d1c9a-17bd%22	http://html.lionode.com/korslook/images/footer-logo.png	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/footer-logo.png	(from http://html.lionode.com/korslook/css/style.css)
13:57:37	2838/2838	---M--	200	added ('OK')	image/png	etag:%22569dd0ce-b16%22	http://html.lionode.com/korslook/images/plus.png	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/plus.png	(from http://html.lionode.com/korslook/css/style.css)
13:57:41	53569/53569	---M--	200	added ('OK')	image/jpeg	etag:%22598e4c68-d141%22	http://html.lionode.com/korslook/images/cms-banner.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/cms-banner.jpg	(from http://html.lionode.com/korslook/css/style.css)
13:57:43	64464/64464	---M--	200	added ('OK')	text/html	etag:%22fbd0-51bf0ee336580%22	http://html.lionode.com/korslook/fonts/fontawesome-webfont.woff2?v=4.4.0	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/fonts/fontawesome-webfont93e3.html	(from http://html.lionode.com/korslook/css/font-awesome.css)
13:57:48	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2255b79c66-10d0b%22	http://html.lionode.com/korslook/fonts/fontawesome-webfont.eot?v=4.4.0	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/fonts/fontawesome-webfont93e3.eot	(from http://html.lionode.com/korslook/css/font-awesome.css)
13:57:49	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2255b79c66-10d0b%22	http://html.lionode.com/korslook/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/fonts/fontawesome-webfontd41d.eot	(from http://html.lionode.com/korslook/css/font-awesome.css)
13:57:54	355981/355981	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2255b79c66-56e8d%22	http://html.lionode.com/korslook/fonts/fontawesome-webfont.svg?v=4.4.0	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/fonts/fontawesome-webfont93e3.svg	(from http://html.lionode.com/korslook/css/font-awesome.css)
13:57:58	81284/81284	---M--	200	added ('OK')	application/font-woff	etag:%2255b79c66-13d84%22	http://html.lionode.com/korslook/fonts/fontawesome-webfont.woff?v=4.4.0	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/fonts/fontawesome-webfont93e3.woff	(from http://html.lionode.com/korslook/css/font-awesome.css)
13:57:58	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2003%20Mar%202020%2006:57:56%20GMT	https://fonts.googleapis.com/robots.txt		(from http://html.lionode.com/korslook/)
13:57:59	1338/1338	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2253a-5875ce617f476%22	http://html.lionode.com/korslook/css/grabbing.png	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/css/grabbing.png	(from http://html.lionode.com/korslook/css/owl.carousel.css)
